# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-2.370000000000000000e+02,1.846984615582743125e+14,1.846984615582743174e+02,1.623145398563118629e-06,1.623145398563118533e+03,-1.725492683678436947e+02,5.559979153084503844e-21
-2.360000000000000000e+02,1.847336615582743125e+14,1.847336615582743207e+02,1.622836116986888977e-06,1.622836116986889010e+03,-1.769624238226674322e+02,2.012600692251774137e-21
-2.350000000000000000e+02,1.847688615582743125e+14,1.847688615582742955e+02,1.622526953252068081e-06,1.622526953252068097e+03,-1.706999415980198478e+02,8.511494840031182610e-21
-2.340000000000000000e+02,1.848040615582743125e+14,1.848040615582742987e+02,1.622217907291319785e-06,1.622217907291319761e+03,-1.863676255513395859e+02,2.308008717609278871e-22
-2.330000000000000000e+02,1.848392615582743125e+14,1.848392615582743019e+02,1.621908979037358757e-06,1.621908979037358677e+03,-1.860092086756312142e+02,2.506565930722019204e-22
-2.320000000000000000e+02,1.848744615582743125e+14,1.848744615582743052e+02,1.621600168422950910e-06,1.621600168422950901e+03,-1.684701827135313010e+02,1.422268949095970647e-20
-2.310000000000000000e+02,1.849096615582743125e+14,1.849096615582743084e+02,1.621291475380913825e-06,1.621291475380913880e+03,-1.752857391695037563e+02,2.960915974405584614e-21
-2.300000000000000000e+02,1.849448615582743125e+14,1.849448615582743116e+02,1.620982899844115694e-06,1.620982899844115764e+03,-1.670693232858786814e+02,1.963666229869907613e-20
-2.290000000000000000e+02,1.849800615582743125e+14,1.849800615582743148e+02,1.620674441745475956e-06,1.620674441745475860e+03,-1.799362352264908509e+02,1.014790697321360151e-21
-2.280000000000000000e+02,1.850152615582743125e+14,1.850152615582743181e+02,1.620366101017965292e-06,1.620366101017965320e+03,-1.772495032240486239e+02,1.883864566574682547e-21
-2.270000000000000000e+02,1.850504615582743125e+14,1.850504615582743213e+02,1.620057877594605420e-06,1.620057877594605316e+03,-1.658029610831677019e+02,2.628475248015762154e-20
-2.260000000000000000e+02,1.850856615582743125e+14,1.850856615582742961e+02,1.619749771408468667e-06,1.619749771408468632e+03,-1.676774595072907914e+02,1.707080688086665276e-20
-2.250000000000000000e+02,1.851208615582743125e+14,1.851208615582742993e+02,1.619441782392678393e-06,1.619441782392678306e+03,-1.648855041819085159e+02,3.246755476894338274e-20
-2.240000000000000000e+02,1.851560615582743125e+14,1.851560615582743026e+02,1.619133910480408993e-06,1.619133910480408986e+03,-1.703688538707922078e+02,9.185749819504905298e-21
-2.230000000000000000e+02,1.851912615582743125e+14,1.851912615582743058e+02,1.618826155604885471e-06,1.618826155604885571e+03,-1.693636383949238962e+02,1.157806972173839394e-20
-2.220000000000000000e+02,1.852264615582743125e+14,1.852264615582743090e+02,1.618518517699383654e-06,1.618518517699383665e+03,-1.648255760543209192e+02,3.291867866381907086e-20
-2.210000000000000000e+02,1.852616615582743125e+14,1.852616615582743123e+02,1.618210996697230190e-06,1.618210996697230257e+03,-1.610753206409333700e+02,7.806708008481370398e-20
-2.200000000000000000e+02,1.852968615582743125e+14,1.852968615582743155e+02,1.617903592531802127e-06,1.617903592531802133e+03,-1.645797412018913519e+02,3.483580732376760834e-20
-2.190000000000000000e+02,1.853320615582743125e+14,1.853320615582743187e+02,1.617596305136527546e-06,1.617596305136527462e+03,-1.639215015909911131e+02,4.053683534440243150e-20
