# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
1.164717132182885351e+01,8.133271506997359623e-02
1.170276641167052212e+01,7.995991312121254746e-02
1.175836150151218540e+01,7.825539810161773191e-02
1.181395659135385046e+01,7.620006294609348030e-02
1.186955168119551729e+01,7.380311734497733978e-02
1.192514677103718057e+01,7.112504424238087763e-02
1.198074186087884563e+01,6.831546811733849034e-02
1.203633695072051246e+01,6.567515409411361915e-02
1.209193204056217752e+01,6.375686901183663657e-02
1.214752713040384080e+01,6.352857447127492618e-02
1.220312222024550941e+01,6.663621128601143750e-02
1.225871731008717269e+01,7.582494308241115311e-02
1.231431239992883775e+01,9.561116706093454598e-02
1.236990748977050103e+01,1.333482262819516151e-01
1.242550257961216786e+01,2.009024150257916475e-01
1.248109766945383292e+01,3.172549758687673305e-01
1.253669275929549620e+01,5.124571159161036560e-01
1.259228784913716481e+01,8.334263896159095353e-01
1.264788293897882809e+01,1.351891904773156128e+00
1.270347802882049315e+01,2.173877593001798392e+00
1.275907311866215998e+01,3.447370930336034256e+00
1.281466820850382504e+01,5.358396854290107925e+00
1.287026329834548832e+01,8.094096162841680098e+00
1.292585838818715516e+01,1.173942092391101788e+01
1.298145347802882021e+01,1.608747861393297640e+01
1.303704856787048350e+01,2.043531739131489289e+01
1.309264365771214855e+01,2.360793544903658159e+01
1.314823874755381539e+01,2.446350265361896703e+01
1.320383383739548044e+01,2.265436621262265149e+01
1.325942892723714372e+01,1.889611604756944274e+01
1.331502401707881234e+01,1.443129660191032038e+01
1.337061910692047562e+01,1.029117555957565067e+01
1.342621419676214067e+01,6.978822916109939101e+00
1.348180928660380751e+01,4.566816632143597232e+00
1.353740437644547079e+01,2.914787525480515118e+00
1.359299946628713585e+01,1.828287925615385889e+00
1.364859455612880268e+01,1.133437916220834785e+00
1.370418964597046774e+01,6.982478369459556022e-01
1.375978473581213102e+01,4.304930796923055469e-01
1.381537982565379963e+01,2.686816949361152118e-01
1.387097491549546291e+01,1.729520432160608912e-01
1.392657000533712797e+01,1.179240746485695907e-01
1.398216509517879125e+01,8.763755398250447359e-02
1.403776018502045808e+01,7.215274917301414681e-02
1.409335527486212314e+01,6.533422531231369845e-02
1.414895036470378642e+01,6.343104991390151326e-02
1.420454545454545503e+01,6.417706809585038696e-02
